record,created_at
30.2*2*27.5,2024-07-04 21:00:52
25.5*2*23.7,2024-07-05 03:00:50
23.8*2*22.8,2024-07-05 09:00:43
25.9*2*22.8,2024-07-05 15:00:44
26.8*2*25.3,2024-07-05 21:00:52
24.1*2*22.5,2024-07-06 03:00:47
23.1*2*21.3,2024-07-06 09:00:43
23.4*2*22.4,2024-07-06 15:00:43
27.0*2*24.8,2024-07-06 21:00:53
24.1*2*21.5,2024-07-07 03:00:46
22.1*2*19.5,2024-07-07 09:00:44
27.2*2*26.7,2024-07-07 15:00:43
27.0*2*24.3,2024-07-07 21:00:55
22.6*2*20.9,2024-07-08 03:00:47
21.9*2*20.0,2024-07-08 09:00:44
26.2*2*24.8,2024-07-08 15:00:42
28.2*2*26.6,2024-07-08 21:00:52
24.3*2*22.5,2024-07-09 03:00:49
29.0*2*28.1,2024-07-09 08:43:38
29.0*2*28.2,2024-07-09 09:00:44
29.3*2*28.0,2024-07-09 15:00:51
27.5*2*25.6,2024-07-09 21:00:46
24.4*2*23.0,2024-07-10 03:00:44
22.9*2*20.6,2024-07-10 09:00:43
22.2*2*20.2,2024-07-10 15:00:53
24.4*2*21.5,2024-07-10 16:46:11
24.5*2*21.6,2024-07-10 21:00:51
23.3*2*21.5,2024-07-11 03:00:45
22.6*2*20.7,2024-07-11 09:00:43
24.5*2*23.0,2024-07-11 15:00:43
24.1*2*21.5,2024-07-11 18:24:37
24.2*2*21.6,2024-07-11 21:00:54
23.4*2*21.9,2024-07-12 03:00:43
22.7*2*20.4,2024-07-12 09:00:43
26.4*2*27.0,2024-07-12 15:00:45
26.6*2*24.0,2024-07-12 21:00:43
23.6*2*22.0,2024-07-13 03:00:54
21.9*2*20.1,2024-07-13 09:00:43
28.2*2*28.5,2024-07-13 15:00:42
27.9*2*25.3,2024-07-13 21:00:53
23.5*2*20.8,2024-07-13 22:05:55
23.6*2*20.9,2024-07-14 03:00:53
22.7*2*21.6,2024-07-14 09:00:48
28.6*2*27.4,2024-07-14 15:00:43
24.7*2*22.2,2024-07-14 18:57:05
24.7*2*22.3,2024-07-14 21:00:53
23.8*2*22.1,2024-07-15 03:00:44
21.9*2*19.5,2024-07-15 09:00:46
27.6*2*27.7,2024-07-15 15:00:43
27.0*2*25.1,2024-07-15 21:00:55
23.6*2*22.1,2024-07-16 03:00:44
22.4*2*20.1,2024-07-16 09:00:43
27.8*2*27.5,2024-07-16 15:00:43
26.3*2*24.2,2024-07-16 21:00:54
24.4*2*22.2,2024-07-17 03:00:43
22.4*2*20.0,2024-07-17 09:00:43
25.1*2*24.1,2024-07-17 15:00:43
24.4*2*22.4,2024-07-17 17:43:26
24.5*2*22.5,2024-07-17 21:00:47
23.3*2*21.8,2024-07-18 03:00:47
22.6*2*21.1,2024-07-18 09:00:44
27.8*2*27.4,2024-07-18 15:00:44
27.1*2*24.5,2024-07-18 16:39:48
27.2*2*24.6,2024-07-18 21:00:45
24.5*2*23.0,2024-07-19 03:00:45
23.7*2*21.6,2024-07-19 09:00:44
25.6*2*23.2,2024-07-19 11:12:05
25.8*2*23.5,2024-07-19 15:00:44
26.5*2*24.6,2024-07-19 21:00:51
24.2*2*21.8,2024-07-20 03:00:43
22.3*2*20.5,2024-07-20 09:00:43
26.0*2*25.6,2024-07-20 15:00:56
25.1*2*22.3,2024-07-20 18:39:24
