record,created_at
76.5*2*69.4,2024-07-04 21:00:52
74.9*2*88.2,2024-07-05 03:00:50
75.6*2*79.1,2024-07-05 09:00:43
78.3*2*89.9,2024-07-05 15:00:44
78.8*2*81.2,2024-07-05 21:00:52
78.4*2*87.9,2024-07-06 03:00:47
79.1*2*85.1,2024-07-06 09:00:43
83.3*2*84.3,2024-07-06 15:00:43
81.5*2*73.9,2024-07-06 21:00:53
80.7*2*89.5,2024-07-07 03:00:46
80.8*2*93.0,2024-07-07 09:00:44
85.2*2*73.8,2024-07-07 15:00:43
83.1*2*73.9,2024-07-07 21:00:55
82.0*2*90.5,2024-07-08 03:00:47
82.3*2*94.8,2024-07-08 09:00:44
85.3*2*77.1,2024-07-08 15:00:42
85.5*2*65.2,2024-07-08 21:00:52
82.3*2*88.4,2024-07-09 03:00:49
85.7*2*69.7,2024-07-09 08:43:38
85.6*2*71.3,2024-07-09 09:00:44
85.2*2*69.7,2024-07-09 15:00:51
84.4*2*79.6,2024-07-09 21:00:46
83.1*2*89.2,2024-07-10 03:00:44
83.6*2*97.1,2024-07-10 09:00:43
85.0*2*97.8,2024-07-10 15:00:53
85.5*2*94.8,2024-07-10 16:46:11
85.3*2*94.8,2024-07-10 21:00:51
85.5*2*92.3,2024-07-11 03:00:45
86.8*2*96.2,2024-07-11 09:00:43
89.2*2*87.3,2024-07-11 15:00:43
87.3*2*91.5,2024-07-11 18:24:37
87.0*2*91.3,2024-07-11 21:00:54
86.6*2*89.7,2024-07-12 03:00:43
87.2*2*96.3,2024-07-12 09:00:43
89.2*2*71.5,2024-07-12 15:00:45
86.5*2*79.3,2024-07-12 21:00:43
85.2*2*87.2,2024-07-13 03:00:54
85.3*2*93.8,2024-07-13 09:00:43
87.0*2*66.4,2024-07-13 15:00:42
86.2*2*76.8,2024-07-13 21:00:53
84.2*2*90.1,2024-07-13 22:05:55
84.1*2*89.7,2024-07-14 03:00:53
84.3*2*89.3,2024-07-14 09:00:48
86.6*2*73.0,2024-07-14 15:00:43
83.5*2*82.1,2024-07-14 18:57:05
83.3*2*82.0,2024-07-14 21:00:53
82.8*2*81.7,2024-07-15 03:00:44
83.1*2*92.4,2024-07-15 09:00:46
85.9*2*66.8,2024-07-15 15:00:43
83.0*2*70.9,2024-07-15 21:00:55
81.7*2*86.9,2024-07-16 03:00:44
82.3*2*91.2,2024-07-16 09:00:43
85.9*2*76.3,2024-07-16 15:00:43
82.4*2*71.9,2024-07-16 21:00:54
82.0*2*80.8,2024-07-17 03:00:43
81.7*2*85.8,2024-07-17 09:00:43
84.0*2*78.7,2024-07-17 15:00:43
82.1*2*83.6,2024-07-17 17:43:26
81.8*2*83.5,2024-07-17 21:00:47
82.0*2*86.7,2024-07-18 03:00:47
82.8*2*88.1,2024-07-18 09:00:44
85.7*2*67.7,2024-07-18 15:00:44
82.8*2*78.5,2024-07-18 16:39:48
82.6*2*78.3,2024-07-18 21:00:45
81.6*2*86.0,2024-07-19 03:00:45
82.5*2*90.1,2024-07-19 09:00:44
85.4*2*83.7,2024-07-19 11:12:05
85.2*2*83.6,2024-07-19 15:00:44
83.8*2*74.9,2024-07-19 21:00:51
82.8*2*86.6,2024-07-20 03:00:43
82.8*2*91.1,2024-07-20 09:00:43
86.2*2*76.9,2024-07-20 15:00:56
83.0*2*87.4,2024-07-20 18:39:24
82.8*2*87.5,2024-07-20 21:00:51
83.6*2*94.2,2024-07-21 02:42:32
83.5*2*93.9,2024-07-21 03:00:46
85.7*2*86.8,2024-07-21 06:42:24
86.9*2*75.5,2024-07-21 08:03:10
86.7*2*75.7,2024-07-21 09:00:44
86.5*2*79.5,2024-07-21 15:00:43
84.8*2*93.7,2024-07-21 18:08:11
84.5*2*93.6,2024-07-21 21:00:43
84.9*2*94.8,2024-07-22 03:00:49
85.6*2*98.6,2024-07-22 09:00:43
88.1*2*87.5,2024-07-22 15:00:42
86.4*2*91.7,2024-07-22 21:00:53
87.2*2*99.0,2024-07-23 03:00:43
88.2*2*96.9,2024-07-23 09:00:45
87.4*2*90.1,2024-07-23 14:53:23
87.1*2*90.1,2024-07-23 15:00:47
86.9*2*91.1,2024-07-23 21:00:47
86.9*2*92.2,2024-07-24 03:00:46
87.9*2*96.9,2024-07-24 09:00:44
90.0*2*78.1,2024-07-24 15:00:52
89.6*2*2,2024-07-24 17:34:09
90.6*2*2,2024-07-24 17:46:48
86.9*2*87.6,2024-07-24 17:55:12
84.6*2*91.2,2024-07-24 21:00:45
80.0*2*89.9,2024-07-25 03:00:44
